Liste,Section,Genre,Nom,Position,Tete de liste
RESPE,Nord,f,Marie-Louise BROCHE,2,0
RESPE,Nord,m,Denis DELAGE,3,0
RESPE,Nord,f,Sonia BELLEAU,4,0
RESPE,Nord,m,Garry AÏNAMA,5,0
RESPE,Nord,f,Denise DUCART,6,0
RESPE,Nord,m,Youri HERELLE,7,0
RESPE,Nord,f,Léa ANGELO,8,0
RESPE,Nord,m,Frédéric GRANJEAN,9,0
RESPE,Nord,f,Vanessa RETOUR,10,0
RESPE,Nord,m,Jean CARUGE,11,0
RESPE,Nord,f,Francine GUIOUBLY,12,0
RESPE,Nord,m,Benjamin SELLAYE,13,0
RESPE,Nord,f,Alicia CORBION,14,0
RESPE,Nord,m,Jonathan VITULIN,15,0
RESPE,Nord,f,Nicole CHARLES,16,0
RESPE,Sud,f,George ARNAULD,1,0
RESPE,Sud,m,Fabrice CELESTIN,2,0
RESPE,Sud,f,Laura SELLAYE,3,0
RESPE,Sud,m,Philippe CONCY,4,0
RESPE,Sud,f,Michèle CIDALISE,5,0
RESPE,Sud,m,Laurent NADIR,6,0
RESPE,Sud,f,Armande PICOULY,7,0
RESPE,Sud,m,Alfred FONTAINE,8,0
RESPE,Sud,f,Annie JEAN-CHRISTOPHE,9,0
RESPE,Sud,m,Elie HIERSO,10,0
RESPE,Sud,f,Dominique MARTINY,11,0
RESPE,Sud,m,Pierre LANOIX,12,0
RESPE,Sud,f,Jeanne DONDON,13,0
RESPE,Sud,m,Myo SABIN,14,0
RESPE,Sud,f,Annie BOURDIN,15,0
RESPE,Sud,m,René APAT,16,0
ANSAM POU PEYI NOU,Centre,m,Samuel TAVERNIER,1,0
ANSAM POU PEYI NOU,Centre,f,Annick Sabas CHARLEC,2,0
ANSAM POU PEYI NOU,Centre,m,Patrick PETITO,3,0
ANSAM POU PEYI NOU,Centre,f,Gwladys Marie-Michelle COLER,4,0
ANSAM POU PEYI NOU,Centre,m,Emile Eloi AGOT,5,0
ANSAM POU PEYI NOU,Centre,f,Tania Edith TOUSSAINT,6,0
ANSAM POU PEYI NOU,Centre,m,Wiltord HARNAIS,7,0
ANSAM POU PEYI NOU,Centre,f,Louise TELLE,8,0
ANSAM POU PEYI NOU,Centre,m,David VERNEUIL-SAINTE-LUCE,9,0
ANSAM POU PEYI NOU,Centre,f,Nadiège LITTRE EPOUSE JEAN-BAPTISTE-AUGUSTIN,10,0
ANSAM POU PEYI NOU,Centre,m,Richard BARTHELERY,11,0
ANSAM POU PEYI NOU,Centre,f,Miguelle Calixte ARINNE,12,0
ANSAM POU PEYI NOU,Centre,m,Jean LANOIX,13,0
ANSAM POU PEYI NOU,Centre,f,Catherine DE GONZALGUE,14,0
ANSAM POU PEYI NOU,Centre,m,Paul Alain OCTAVIE,15,0
ANSAM POU PEYI NOU,Centre,f,Marie-Hélène BAUR,16,0
ANSAM POU PEYI NOU,Centre,m,Philippe FERJUL,17,0
ANSAM POU PEYI NOU,Fort-de-France,f,Pascale MOURIESSE,1,0
ANSAM POU PEYI NOU,Fort-de-France,m,Noé MALOUDA,2,0
ANSAM POU PEYI NOU,Fort-de-France,f,Marie-France TOUL,3,0
ANSAM POU PEYI NOU,Fort-de-France,m,Jean-René BARCLAY,4,0
ANSAM POU PEYI NOU,Fort-de-France,f,Marie-Line LESDEMA,5,0
ANSAM POU PEYI NOU,Fort-de-France,m,Yves-André JOSEPH,6,0
ANSAM POU PEYI NOU,Fort-de-France,f,Nathalie JOS,7,0
ANSAM POU PEYI NOU,Fort-de-France,m,Georges Dit Joko GROMAT,8,0
ANSAM POU PEYI NOU,Fort-de-France,f,Laëtitia PRIVAT,9,0
ANSAM POU PEYI NOU,Fort-de-France,m,Thierry RENARD,10,0
